id,slug,name,created,update
710,a_archivos_leyes.a_archivos_leye.index,a_archivos_leyes.a_archivos_leye.index,01/01/2018 00:00,01/01/2018 00:00
711,a_archivos_leyes.a_archivos_leye.create,a_archivos_leyes.a_archivos_leye.create,01/01/2018 00:00,01/01/2018 00:00
712,a_archivos_leyes.a_archivos_leye.show,a_archivos_leyes.a_archivos_leye.show,01/01/2018 00:00,01/01/2018 00:00
713,a_archivos_leyes.a_archivos_leye.edit,a_archivos_leyes.a_archivos_leye.edit,01/01/2018 00:00,01/01/2018 00:00
714,a_archivos_leyes.a_archivos_leye.store,a_archivos_leyes.a_archivos_leye.store,01/01/2018 00:00,01/01/2018 00:00
715,a_archivos_leyes.a_archivos_leye.update,a_archivos_leyes.a_archivos_leye.update,01/01/2018 00:00,01/01/2018 00:00
716,a_archivos_leyes.a_archivos_leye.destroy,a_archivos_leyes.a_archivos_leye.destroy,01/01/2018 00:00,01/01/2018 00:00
